iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt,bloc_eu15
ESP,Spain,2000,784.5663023592,816.0523655926,977964704474.031,EU,0.03858338577394544,31.486063233400046,EU15
ESP,Spain,2001,809.8377515023001,849.1360753573999,1016292009754.12,EU,0.04628036070491912,39.29832385509985,EU15
ESP,Spain,2002,855.4719145765,900.5714287929,1044295490089.67,EU,0.050078775291428054,45.09951421639994,EU15
ESP,Spain,2003,898.0793332293,970.94464482,1074990358774.14,EU,0.07504579378385494,72.8653115907,EU15
ESP,Spain,2004,928.0822226382,1011.7789905131,1108471271904.22,EU,0.08272238172533616,83.69676787489993,EU15
ESP,Spain,2005,1006.7945149841,1091.1149899024,1147835587310.16,EU,0.07727918294463403,84.32047491830008,EU15
ESP,Spain,2006,1056.5048379649,1145.3119877068998,1194247574981.13,EU,0.07753970157931044,88.807149741999865,EU15
ESP,Spain,2007,1051.0891568617,1181.0222999158002,1236446314615.43,EU,0.11001751877450881,129.93314305410013,EU15
ESP,Spain,2008,896.6006697458,1078.0707358963,1245931907237.16,EU,0.16832853365565767,181.47006615049997,EU15
ESP,Spain,2009,769.3262465461,882.7939873569,1198983535018.34,EU,0.12853252563548176,113.46774081079991,EU15
ESP,Spain,2010,683.1173245236,826.9235999162,1200112046037.65,EU,0.17390515327797304,143.8062753926,EU15
ESP,Spain,2011,613.1924382449,772.0114324967001,1192432281393.69,EU,0.20572103930919303,158.81899425180006,EU15
ESP,Spain,2012,442.9299915055,640.0755207373,1158267740898.69,EU,0.3080035446515889,197.14552923180003,EU15
ESP,Spain,2013,617.3181380686999,758.8637469118,1141735527746.35,EU,0.18652308720652516,141.54560884310013,EU15
ESP,Spain,2014,619.0301719016,736.4468567188,1159095455877.44,EU,0.15943673836879924,117.4166848171999,EU15
ESP,Spain,2015,593.0577618902,712.5967369615,1206164777553.12,EU,0.1677512243193985,119.5389750713,EU15
ESP,Spain,2016,535.8465749109,687.5162538952001,1241326362266.48,EU,0.22060522660373272,151.66967898430005,EU15
ESP,Spain,2017,412.4071447507,606.1216729641,1277275696051.09,EU,0.31959676885679267,193.71452821339994,EU15
ESP,Spain,2018,459.7905425842,648.5394521718,1307871701701.25,EU,0.291036896761679,188.7489095876,EU15
