iso3,year,bloc,tapio,regime_viterbi
MLT,1995,EU,WD,2
MLT,1996,EU,WD,2
MLT,1997,EU,SD,2
MLT,1998,EU,END,2
MLT,1999,EU,WD,2
MLT,2000,EU,WD,2
MLT,2001,EU,SND,2
MLT,2002,EU,SD,2
MLT,2003,EU,END,2
MLT,2004,EU,END,2
MLT,2005,EU,END,2
MLT,2006,EU,SD,2
MLT,2007,EU,WD,2
MLT,2008,EU,SD,2
MLT,2009,EU,RND,2
MLT,2010,EU,END,2
MLT,2011,EU,SD,2
MLT,2012,EU,SD,2
MLT,2013,EU,EC,2
MLT,2014,EU,SD,2
MLT,2015,EU,EC,2
MLT,2016,EU,SD,2
MLT,2017,EU,END,2
MLT,2018,EU,END,2
MLT,2019,EU,WD,2
MLT,2020,EU,SND,2
MLT,2021,EU,WD,2
MLT,2022,EU,WD,2
MLT,2023,EU,WD,2
MLT,2024,EU,WD,2
NLD,1995,EU,END,2
NLD,1996,EU,SD,2
NLD,1997,EU,WD,2
NLD,1998,EU,WD,2
NLD,1999,EU,END,2
NLD,2000,EU,SD,2
NLD,2001,EU,SD,2
NLD,2002,EU,SD,2
NLD,2003,EU,END,2
NLD,2004,EU,WD,2
NLD,2005,EU,SD,2
NLD,2006,EU,END,2
NLD,2007,EU,END,2
NLD,2008,EU,SD,2
NLD,2009,EU,RND,1
NLD,2010,EU,SD,1
NLD,2011,EU,END,1
NLD,2012,EU,RND,1
NLD,2013,EU,SND,2
NLD,2014,EU,SD,2
NLD,2015,EU,WD,2
NLD,2016,EU,SD,2
NLD,2017,EU,EC,2
NLD,2018,EU,END,2
NLD,2019,EU,WD,2
NLD,2020,EU,SND,2
NLD,2021,EU,WD,2
NLD,2022,EU,WD,2
NLD,2023,EU,SND,2
NLD,2024,EU,END,2
POL,1995,EU,WD,2
POL,1996,EU,END,2
POL,1997,EU,WD,2
POL,1998,EU,SD,2
POL,1999,EU,WD,2
POL,2000,EU,SD,2
POL,2001,EU,SD,2
