iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt
POL,Poland,2003,535.3892688378,474.3713421545,302410346199.761,EU,-0.12862903228126896,-61.01792668330006
POL,Poland,2004,564.7631656512001,496.5117873201,317805438387.054,EU,-0.13746174828896582,-68.25137833110011
POL,Poland,2005,566.7540858665,510.2186491138,328168510412.522,EU,-0.11080629226488785,-56.53543675269998
POL,Poland,2006,594.3055872282999,530.065693304,348521872927.444,EU,-0.12119232528308052,-64.23989392429996
POL,Poland,2007,660.4059330887001,593.8314346128,372083512402.176,EU,-0.11211009487786569,-66.5744984759001
POL,Poland,2008,673.0594425289,629.4626373273,388394800371.402,EU,-0.06926035417560643,-43.59680520160009
POL,Poland,2009,647.06456168,576.6567285435,398551823849.317,EU,-0.12209661251041627,-70.40783313650002
POL,Poland,2010,676.5794682119,601.4662542288,411181642127.603,EU,-0.12488350502624644,-75.11321398309997
POL,Poland,2011,779.6876008713,656.2369626917,432791139408.41,EU,-0.18811899542086152,-123.45063817959999
POL,Poland,2012,690.6047930197999,611.8595076443,439333996551.267,EU,-0.12869831128174256,-78.74528537549986
POL,Poland,2013,619.4957655326999,572.8271672278,442340098156.254,EU,-0.08147064415738661,-46.66859830489989
POL,Poland,2014,630.6708285575,581.1936215544999,459682079851.439,EU,-0.08513033379593019,-49.4772070030001
POL,Poland,2015,676.5104561488,586.5267945488,480054118583.367,EU,-0.15341781899192197,-89.9836616
POL,Poland,2016,690.4691999197,582.8707624804999,494605411858.337,EU,-0.1846008487049474,-107.5984374392001
POL,Poland,2017,695.3006472625999,594.4588648596,520089746650.75,EU,-0.16963626646701088,-100.84178240299991
POL,Poland,2018,714.47561449,594.7911709525,552573816155.989,EU,-0.2012209484310889,-119.68444353749999
POL,Poland,2019,708.5723422438999,582.8743127831,577884228677.544,EU,-0.21565203115680082,-125.69802946079994
POL,Poland,2020,703.0310594727,587.4043419947,566120997479.772,EU,-0.19684348448184152,-115.62671747800005
POL,Poland,2021,733.8364080813,560.4713429205001,605337233054.782,EU,-0.30932012376838114,-173.36506516079987
POL,Poland,2022,755.8062739181,563.0821333271,637150470884.733,EU,-0.3422664815383952,-192.72414059100004
POL,Poland,2023,775.2491634986,593.6487709303,638740867489.057,EU,-0.30590544689196636,-181.60039256829998
POL,Poland,2024,794.5223657215,603.5982297444,658084600079.586,EU,-0.31630996674385353,-190.92413597710004
PRT,Portugal,1994,169.628338215,186.091628058,152020360998.271,EU,0.08846872916748731,16.463289842999984
PRT,Portugal,1995,162.7926849654,179.7689306865,158531058877.056,EU,0.0944337025106132,16.976245721099986
PRT,Portugal,1996,182.0813123164,199.11803419569998,164086378007.658,EU,0.08556091841764428,17.03672187929999
PRT,Portugal,1997,191.43644723190002,207.3924180674,171307602359.378,EU,0.07693613384802953,15.955970835499983
PRT,Portugal,1998,203.74732054229997,225.8567881052,179544008821.687,EU,0.0978915344913248,22.109467562900022
PRT,Portugal,1999,227.03253648269998,252.40329184200002,186558035204.778,EU,0.10051673721902833,25.370755359300034
PRT,Portugal,2000,238.6368934466,251.0456461992,193677420299.115,EU,0.04942827306693818,12.408752752600009
PRT,Portugal,2001,254.0307334583,260.9081739184,197441874347.86,EU,0.026359620539335556,6.87744046009999
PRT,Portugal,2002,256.4053720729,263.1492803596,198964002685.767,EU,0.02562769040251347,6.743908286700048
PRT,Portugal,2003,234.07494783,249.90904209240003,197112600768.677,EU,0.0633594292140322,15.834094262400015
PRT,Portugal,2004,249.8772409924,251.2063563148,200638423891.103,EU,0.005290930300881403,1.3291153223999856
PRT,Portugal,2005,236.9747290883,246.2990246459,202207110531.023,EU,0.03785762274538194,9.32429555760001
PRT,Portugal,2006,224.5896429345,234.6573069139,205493047516.038,EU,0.04290368841185921,10.067663979399981
PRT,Portugal,2007,190.9880800169,215.6512028233,210643893867.297,EU,0.11436580220054898,24.663122806399997
PRT,Portugal,2008,144.1159347741,186.25800549320002,211316368904.681,EU,0.22625642644196875,42.14207071910002
PRT,Portugal,2009,175.19251609580002,199.6792117132,204718906458.637,EU,0.12263016969723578,24.486695617399988
PRT,Portugal,2010,197.1366339488,207.21435563240001,208276152407.912,EU,0.04863428333835116,10.077721683600004
PRT,Portugal,2011,189.85861610269998,179.8599150821,204707283345.749,EU,-0.05559160314312341,-9.998701020599981
PRT,Portugal,2012,153.6744095881,143.4586825721,196414790526.28,EU,-0.07121023860557014,-10.215727015999988
PRT,Portugal,2013,108.4976568932,124.1828780628,194481859660.111,EU,0.12630743798406646,15.685221169599998
PRT,Portugal,2014,103.933833448,123.7241795857,195923731482.461,EU,0.15995536364815274,19.7903461377
PRT,Portugal,2015,107.1575630755,125.3799590252,199038523119.639,EU,0.14533738957465683,18.2223959497
PRT,Portugal,2016,135.1751337638,138.9973664533,203027536357.754,EU,0.027498597901739256,3.822232689499998
PRT,Portugal,2017,101.1759660717,125.1333783092,209757330876.906,EU,0.19145501033546866,23.957412237499994
PRT,Portugal,2018,116.4694983442,129.5560882262,215937376369.165,EU,0.10101099887448976,13.086589881999984
PRT,Portugal,2019,117.7919653044,133.2522107887,221866335067.158,EU,0.1160224313937692,15.460245484300017
PRT,Portugal,2020,110.0941452499,139.44305034959999,203663019645.466,EU,0.21047233997046724,29.34890509969999
PRT,Portugal,2021,118.4292909383,143.55848331,214984151437.597,EU,0.1750449837049063,25.129192371700015
PRT,Portugal,2022,122.58139487700001,144.2840112536,230002603240.143,EU,0.1504159482955773,21.70261637659999
PRT,Portugal,2023,126.3137820763,148.8300306234,237132635847.463,EU,0.15128834182716253,22.516248547100005
PRT,Portugal,2024,130.04160003249999,151.4332343222,242206495918.36,EU,0.141261159648652,21.391634289700022
PRY,Paraguay,1994,66.43778227279999,53.4522967821,19057827421.2974,MERCOSUR,-0.24293596856344155,-12.985485490699993
PRY,Paraguay,1995,71.83021111480001,56.6871005414,20358106834.2373,MERCOSUR,-0.26713503475699235,-15.143110573400008
PRY,Paraguay,1996,85.89244649519999,64.8548953237,20678499692.7003,MERCOSUR,-0.32437876996791953,-21.037551171499985
PRY,Paraguay,1997,74.8535575869,67.1825584846,21555788371.9596,MERCOSUR,-0.11418140772442294,-7.6709991023000015
PRY,Paraguay,1998,71.5142895819,62.9723072941,21570454446.6146,MERCOSUR,-0.1356466461980871,-8.541982287800003
PRY,Paraguay,1999,70.4872853282,59.983765499,21275784844.5467,MERCOSUR,-0.1751060431405412,-10.503519829200002
PRY,Paraguay,2000,69.10023589309999,56.4907002658,20783433276.2582,MERCOSUR,-0.2232143621511083,-12.60953562729999
PRY,Paraguay,2001,73.33298310699999,60.135531887599996,20610088070.7157,MERCOSUR,-0.21946178582185819,-13.197451219399994
PRY,Paraguay,2002,72.2678911248,45.5614607196,20605676606.0555,MERCOSUR,-0.5861627345435659,-26.706430405200003
PRY,Paraguay,2003,79.8476667298,42.8662443742,21495995447.7717,MERCOSUR,-0.8627166409254664,-36.981422355599996
PRY,Paraguay,2004,79.7008937694,45.3125192775,22368177914.5163,MERCOSUR,-0.7589155279868889,-34.388374491899995
PRY,Paraguay,2005,77.3954035256,41.0324731506,22845400902.1627,MERCOSUR,-0.886198846497467,-36.362930375000005
PRY,Paraguay,2006,80.13389351279999,46.3127950902,23943606096.6681,MERCOSUR,-0.7302754747738534,-33.82109842259999
PRY,Paraguay,2007,88.9264771218,54.7709736014,25241738121.2303,MERCOSUR,-0.6236059225269451,-34.1555035204
PRY,Paraguay,2008,89.7661240394,59.897208224299995,26881515165.6831,MERCOSUR,-0.49866958244945936,-29.868915815100003
PRY,Paraguay,2009,87.3348771111,56.9470203861,26811317495.2224,MERCOSUR,-0.5336162720888776,-30.387856725
PRY,Paraguay,2010,111.9111144173,79.9492723737,29786095177.4612,MERCOSUR,-0.3997765219701252,-31.9618420436
PRY,Paraguay,2011,126.698417002,99.2618529993,31062837784.856,MERCOSUR,-0.27640592205037195,-27.436564002699996
PRY,Paraguay,2012,115.7093884791,94.65344332529999,30842899501.4341,MERCOSUR,-0.22245302879723078,-21.05594515380001
PRY,Paraguay,2013,132.595921928,102.7033520258,33400724748.6301,MERCOSUR,-0.2910573930896697,-29.892569902199995
PRY,Paraguay,2014,137.125762663,111.300110582,35171376876.6336,MERCOSUR,-0.23203617629807313,-25.825652080999987
